,id_A,wc_A,feature_A,us_weld_dist_A,wt_A,depth_A,length_A,width_A,orientation_A,pressure_1_A,pressure_2_A,joint_length_A,lat_A,lng_A,comments_A,us_weld_id_A,us_weld_dist_coord_A,us_weld_dist_wc_A,h_dist_A,orientation_x_A,orientation_y_A,id_B,wc_B,feature_B,us_weld_dist_B,wt_B,depth_B,length_B,width_B,orientation_B,pressure_1_B,pressure_2_B,joint_length_B,lat_B,lng_B,comments_B,us_weld_id_B,us_weld_dist_coord_B,us_weld_dist_wc_B,h_dist_B,orientation_x_B,orientation_y_B,pipe_section,section_sequence
1287,12980,56011.843,WELD,,0.219,,,,,,,44.94499999999971,32.43792625,-104.14254319,,12980.0,0.0,0.0,283.85422550149565,,,12980,56385.521,WELD,,0.219,,,,,,,45.24300000000221,32.43792625,-104.14254319,,12980.0,0.0,0.0,283.85422550149565,,,1287,200
1288,12990,56056.789,WELD,,0.219,,,,,,,44.945999999996275,32.43802816,-104.14262629,,12990.0,0.0,0.0,283.86770365614706,,,12990,56430.74,WELD,,0.219,,,,,,,45.21899999999732,32.43802816,-104.14262629,,12990.0,0.0,0.0,283.86770365614706,,,1288,200
1289,13000,56101.734,WELD,,0.219,,,,,,,44.94499999999971,32.43812966,-104.14270999,,13000.0,0.0,0.0,283.8811618716855,,,13000,56475.958,WELD,,0.219,,,,,,,45.21800000000076,32.43812966,-104.14270999,,13000.0,0.0,0.0,283.8811618716855,,,1289,200
1290,13010,56146.69,WELD,,0.219,,,,,,,44.95600000000559,32.43823104,-104.142794,,13010.0,0.0,0.0,283.8946191989762,,,13010,56521.19,WELD,,0.219,,,,,,,45.23200000000361,32.43823104,-104.142794,,13010.0,0.0,0.0,283.8946191989762,,,1290,200
1291,13020,56191.647,WELD,,0.219,,,,,,,44.95699999999488,32.43833291,-104.14287725,,13020.0,0.0,0.0,283.9080988377506,,,13020,56566.423,WELD,,0.219,,,,,,,45.233000000000175,32.43833291,-104.14287725,,13020.0,0.0,0.0,283.9080988377506,,,1291,200
1292,13030,56236.603,WELD,,0.219,,,,,,,44.95600000000559,32.43843477,-104.14296047,,13030.0,0.0,0.0,283.9215763784671,,,13030,56611.67,WELD,,0.219,,,,,,,45.24699999999575,32.43843477,-104.14296047,,13030.0,0.0,0.0,283.9215763784671,,,1292,200
1293,13040,56281.559,WELD,,0.219,,,,,,,44.95599999999831,32.43853651,-104.14304383,,13040.0,0.0,0.0,283.935046796452,,,13040,56656.917,WELD,,0.219,,,,,,,45.24700000000303,32.43853651,-104.14304383,,13040.0,0.0,0.0,283.935046796452,,,1293,200
1294,13050,56326.52,WELD,,0.28,,,,,,,44.96099999999569,32.43863809,-104.14312752,,13050.0,0.0,0.0,283.94851296599745,,,13050,56702.194,WELD,,0.28,,,,,,,45.27700000000186,32.43863809,-104.14312752,,13050.0,0.0,0.0,283.94851296599745,,,1294,200
39,10000033,56332.414,LOCATION,,,,7.48,,,,,,32.43866059,-104.14314407,"Bend right - 16 deg., 50D ",13060.0,4.002279867114028,16.810000000004948,283.95142284720885,,,,,,,,,,,,,,,,,,,,,,,,1295,0
254,,,,,,,,,,,,,,,,,,,,,,10000033,56706.391,LOCATION,,,,7.419,,,,,,32.4386562,-104.14314163,"Bend right - 15 deg., 58D ",13060.0,4.539498740389062,18.608000000000175,283.95088403541615,,,1295,0
1295,13060,56349.224,WELD,,0.219,,,,,,,22.70400000000518,32.43869443,-104.1431586,,13060.0,0.0,0.0,283.95541933047343,,,13060,56724.999,WELD,,0.219,,,,,,,22.80500000000029,32.43869443,-104.1431586,,13060.0,0.0,0.0,283.95541933047343,,,1295,200
1296,13070,56394.18,WELD,,0.219,,,,,,,44.95599999999831,32.43881124,-104.14320733,,13070.0,0.0,0.0,283.9691622560696,,,13070,56770.237,WELD,,0.219,,,,,,,45.237999999997555,32.43881124,-104.14320733,,13070.0,0.0,0.0,283.9691622560696,,,1296,200
1297,13080,56439.147,WELD,,0.219,,,,,,,44.966999999996915,32.43892805,-104.1432562,,13080.0,0.0,0.0,283.98291031576196,,,13080,56815.474,WELD,,0.219,,,,,,,45.23700000000099,32.43892805,-104.1432562,,13080.0,0.0,0.0,283.98291031576196,,,1297,200
1298,13090,56484.125,WELD,,0.219,,,,,,,44.978000000002794,32.43904482,-104.14330529,,13090.0,0.0,0.0,283.9966623490953,,,13090,56860.726,WELD,,0.219,,,,,,,45.25200000000041,32.43904482,-104.14330529,,13090.0,0.0,0.0,283.9966623490953,,,1298,200
1299,13100,56529.092,WELD,,0.219,,,,,,,44.966999999996915,32.43916137,-104.14335503,,13100.0,0.0,0.0,284.01041570128586,,,13100,56905.959,WELD,,0.219,,,,,,,45.233000000000175,32.43916137,-104.14335503,,13100.0,0.0,0.0,284.01041570128586,,,1299,200
1300,13110,56574.158,WELD,,0.219,,,,,,,45.06600000000617,32.43927824,-104.14340471,,13110.0,0.0,0.0,284.02419960562185,,,13110,56951.191,WELD,,0.219,,,,,,,45.23199999999633,32.43927824,-104.14340471,,13110.0,0.0,0.0,284.02419960562185,,,1300,200
1301,13120,56619.147,WELD,,0.219,,,,,,,44.98899999999412,32.43939504,-104.14345383,,13120.0,0.0,0.0,284.0379558085604,,,13120,56996.438,WELD,,0.219,,,,,,,45.24700000000303,32.43939504,-104.14345383,,13120.0,0.0,0.0,284.0379558085604,,,1301,200
1302,13130,56664.147,WELD,,0.219,,,,,,,45.0,32.4395117,-104.14350352,,13130.0,0.0,0.0,284.0517185843752,,,13130,57041.681,WELD,,0.219,,,,,,,45.242999999994936,32.4395117,-104.14350352,,13130.0,0.0,0.0,284.0517185843752,,,1302,200
