,id_A,feature_A,wc_A,wt_A,depth_in_A,length_in_A,width_in_A,joint_length_A,pressure_1_A,pressure_2_A,us_weld_dist_wc_ft_A,orientation_deg_A,orientation_x_A,orientation_y_A,comments_A,feature_category_A,id_B,feature_B,wc_B,wt_B,depth_in_B,length_in_B,width_in_B,joint_length_B,pressure_1_B,pressure_2_B,us_weld_dist_wc_ft_B,orientation_deg_B,orientation_x_B,orientation_y_B,comments_B,feature_category_B,pipe_section,section_sequence
345,20000391,METAL LOSS,5967.75,0.0,0.179,0.732,0.862,,,,15.640999999999622,357.0,14.979443021318607,-0.7850393436441655,Ext Metal Loss,metal loss / mill anomaly,20001058,METAL LOSS,5998.312,0.0,0.264,0.812,0.641,,,,15.733000000000175,347.0,14.615550971778527,-3.37426581515798,Ext Metal Loss,metal loss / mill anomaly,268,10
1036,,,,,,,,,,,,,,,,,20001059,METAL LOSS,5999.192,0.0,0.185,0.891,0.845,,,,16.613000000000284,355.0,14.942920471376183,-1.3073361412148747,Ext Metal Loss,metal loss / mill anomaly,268,13
1037,,,,,,,,,,,,,,,,,20001060,METAL LOSS,6002.364,0.0,0.191,1.02,0.775,,,,19.784999999999854,135.0,-10.606601717798211,10.606601717798213,Ext Metal Loss,metal loss / mill anomaly,268,14
270,2810,WELD,5993.01,0.0,,,,20.27100000000064,0.0,0.72,20.27100000000064,,,,,,2810,WELD,6023.714,0.0,,,,20.359999999999673,0.0,0.72,20.359999999999673,,,,,,269,-1
346,20000392,METAL LOSS,5984.007,0.0,0.184,0.83,0.831,,,,11.268000000000029,308.0,9.234922129884877,-11.820161304100827,Ext Metal Loss,metal loss / mill anomaly,20001064,METAL LOSS,6014.672,0.0,0.182,0.833,0.886,,,,11.317999999999302,301.0,7.725571123650811,-12.857509510531685,Ext Metal Loss,metal loss / mill anomaly,269,0
1038,,,,,,,,,,,,,,,,,20001061,METAL LOSS,6004.908,0.0,0.151,0.631,0.626,,,,1.5540000000000873,72.0,4.635254915624212,14.265847744427303,Ext Metal Loss,metal loss / mill anomaly,269,0
1039,,,,,,,,,,,,,,,,,20001062,METAL LOSS,6005.491,0.0,0.157,1.056,1.268,,,,2.1369999999997162,82.0,2.087596514400982,14.854021031123555,Ext Metal Loss,metal loss / mill anomaly,269,1
1040,,,,,,,,,,,,,,,,,20001063,METAL LOSS,6013.091,0.0,0.124,0.846,1.001,,,,9.73700000000008,305.0,8.60364654526569,-12.287280664334878,Ext Metal Loss,metal loss / mill anomaly,269,2
1041,,,,,,,,,,,,,,,,,20001065,METAL LOSS,6021.605,0.0,0.154,0.671,0.513,,,,18.250999999999294,244.0,-6.575567201836166,-13.481910694487503,Ext Metal Loss,metal loss / mill anomaly,269,4
1042,,,,,,,,,,,,,,,,,20001066,METAL LOSS,6022.542,0.0,0.208,0.597,0.564,,,,19.188000000000102,274.0,1.0463471061618783,-14.963460753897365,Ext Metal Loss,metal loss / mill anomaly,269,5
271,2820,WELD,6013.632,0.0,,,,20.62199999999939,0.0,0.72,20.62199999999939,,,,,,2820,WELD,6044.413,0.0,,,,20.698999999999614,0.0,0.72,20.698999999999614,,,,,,270,-1
347,20000393,METAL LOSS,5999.783,0.0,0.216,1.061,0.974,,,,6.773000000000138,303.0,8.169585525225399,-12.580058519181364,Ext Metal Loss,metal loss / mill anomaly,20001067,METAL LOSS,6030.493,0.0,0.144,1.295,1.83,,,,6.779000000000451,300.0,7.5,-12.990381056766578,Ext Metal Loss,metal loss / mill anomaly,270,0
1043,,,,,,,,,,,,,,,,,20001068,METAL LOSS,6041.531,0.0,0.135,0.815,1.027,,,,17.817000000000007,283.0,3.3742658151579734,-14.615550971778529,Ext Metal Loss,metal loss / mill anomaly,270,1
272,2830,WELD,6035.499,0.0,,,,21.86700000000019,0.0,0.72,21.86700000000019,,,,,,2830,WELD,6066.443,0.0,,,,22.030000000000655,0.0,0.72,22.030000000000655,,,,,,271,-1
348,20000394,METAL LOSS,6016.371,0.0,0.295,0.861,0.848,,,,2.7390000000004875,265.0,-1.3073361412148738,-14.942920471376183,Ext Metal Loss,metal loss / mill anomaly,20001070,METAL LOSS,6047.196,0.0,0.293,0.85,0.888,,,,2.7830000000003565,258.0,-3.1186753622663974,-14.672214011007084,Ext Metal Loss,metal loss / mill anomaly,271,0
1044,,,,,,,,,,,,,,,,,20001069,METAL LOSS,6046.376,0.0,0.12,0.856,1.38,,,,1.9630000000006476,286.0,4.134560337254991,-14.418925439074782,Ext Metal Loss,metal loss / mill anomaly,271,0
349,20000395,METAL LOSS,6017.357,0.0,0.148,0.735,0.925,,,,3.725000000000364,265.0,-1.3073361412148738,-14.942920471376183,Ext Metal Loss,metal loss / mill anomaly,20001071,METAL LOSS,6048.183,0.0,0.146,0.807,1.025,,,,3.7700000000004366,254.0,-4.1345603372549835,-14.418925439074785,Ext Metal Loss,metal loss / mill anomaly,271,1
350,20000396,METAL LOSS,6020.784,0.0,0.133,1.036,1.357,,,,7.152000000000044,212.0,-12.720721442346392,-7.948788963498072,Ext Metal Loss,metal loss / mill anomaly,20001073,METAL LOSS,6051.634,0.0,0.178,1.088,1.081,,,,7.221000000000458,201.0,-14.003706397458025,-5.3755192431795065,Ext Metal Loss,metal loss / mill anomaly,271,2
1045,,,,,,,,,,,,,,,,,20001072,METAL LOSS,6051.05,0.0,0.148,0.908,0.903,,,,6.637000000000626,211.0,-12.857509510531685,-7.725571123650813,Ext Metal Loss,metal loss / mill anomaly,271,3
1046,,,,,,,,,,,,,,,,,20001074,METAL LOSS,6053.593,0.0,0.241,0.81,0.503,,,,9.180000000000291,119.0,-7.272144303695054,13.119295607090939,Ext Metal Loss,metal loss / mill anomaly,271,5
273,2840,WELD,6055.952,0.0,,,,20.45300000000043,0.0,0.72,20.45300000000043,,,,,,2840,WELD,6087.022,0.0,,,,20.578999999999724,0.0,0.72,20.578999999999724,,,,,,272,-1
1047,,,,,,,,,,,,,,,,,20001075,METAL LOSS,6085.771,0.0,0.156,0.659,0.678,,,,19.32799999999952,72.0,4.635254915624212,14.265847744427303,Ext Metal Loss,metal loss / mill anomaly,272,0
274,2850,WELD,6076.64,0.0,,,,20.688000000000102,0.0,0.72,20.688000000000102,,,,,,2850,WELD,6107.83,0.0,,,,20.807999999999993,0.0,0.72,20.807999999999993,,,,,,273,-1
1048,,,,,,,,,,,,,,,,,20001076,METAL LOSS,6092.822,0.0,0.204,0.712,0.712,,,,5.800000000000182,95.0,-1.3073361412148736,14.942920471376183,Ext Metal Loss,metal loss / mill anomaly,273,0
1049,,,,,,,,,,,,,,,,,20001077,METAL LOSS,6093.101,0.0,0.14,0.604,0.7,,,,6.0789999999997235,87.0,0.7850393436441595,14.979443021318607,Ext Metal Loss,metal loss / mill anomaly,273,1
1050,,,,,,,,,,,,,,,,,20001078,METAL LOSS,6094.768,0.0,0.16,0.64,0.427,,,,7.746000000000095,113.0,-5.860966927339107,13.807572801786604,Ext Metal Loss,metal loss / mill anomaly,273,2
1051,,,,,,,,,,,,,,,,,20001079,METAL LOSS,6095.91,0.0,0.136,1.02,1.309,,,,8.88799999999992,128.0,-9.234922129884872,11.82016130410083,Ext Metal Loss,metal loss / mill anomaly,273,3
1052,,,,,,,,,,,,,,,,,20001080,METAL LOSS,6096.283,0.0,0.2,0.638,0.487,,,,9.261000000000422,104.0,-3.6288284339950168,14.554435894139948,Ext Metal Loss,metal loss / mill anomaly,273,4
