B,joint_length
447,45.257000000001426
448,45.21299999999974
449,45.20799999999872
450,45.24699999999939
451,45.24699999999939
452,45.26700000000346
453,45.1929999999993
454,45.18899999999849
455,45.29200000000128
456,45.266999999999825
457,45.20799999999872
458,34.96900000000096
459,45.26800000000003
460,45.276999999998225
461,45.28200000000288
462,45.292999999997846
463,45.23700000000099
465,35.0570000000007
466,45.17399999999907
467,45.26199999999881
468,45.23199999999997
469,45.23800000000119
470,45.27100000000064
471,45.29199999999764
472,45.27600000000166
473,45.27700000000186
474,45.26199999999881
475,45.24699999999939
476,45.266999999999825
477,45.272000000000844
478,45.272000000000844
479,45.26599999999962
480,41.57099999999991
481,45.21800000000076
482,45.23699999999735
483,45.24799999999959
484,45.25200000000041
485,44.6919999999991
486,45.2970000000023
487,45.24799999999959
488,45.31100000000151
489,45.25799999999799
490,45.223000000001775
491,45.30199999999968
492,45.26299999999901
493,45.28199999999924
494,45.315999999998894
495,45.257000000001426
496,45.25200000000041
497,45.233000000000175
498,45.22699999999895
499,45.23800000000119
500,45.263999999999214
501,45.28399999999965
502,45.262000000002445
504,45.29099999999744
505,45.25200000000041
507,45.266999999999825
508,45.2970000000023
510,42.237999999997555
511,45.300999999999476
512,45.23800000000119
513,45.242999999998574
515,45.24800000000323
516,5.090999999996711
517,45.228000000002794
518,45.233000000000175
519,45.237999999997555
520,45.25300000000061
521,45.26100000000224
522,45.25699999999779
524,45.266999999999825
525,40.236000000000786
526,45.21800000000076
527,45.26199999999881
528,45.26199999999881
529,45.26600000000326
530,45.276999999998225
531,45.29100000000108
532,45.25699999999779
533,45.21800000000076
534,45.21299999999974
535,45.223000000001775
536,45.24199999999837
537,45.21800000000076
538,45.20300000000134
539,45.24699999999939
540,45.25699999999779
542,45.266999999999825
543,45.21800000000076
544,45.306000000000495
545,45.26299999999901
546,45.272000000000844
547,45.26299999999901
548,45.25800000000163
549,45.26199999999881
550,45.28199999999924
551,45.28200000000288
552,45.25299999999697
553,45.26100000000224
554,45.21800000000076
555,45.227999999999156
556,45.23199999999997
557,45.24699999999939
558,45.257000000001426
559,45.276999999998225
560,45.25200000000041
561,45.272000000000844
562,45.23700000000099
563,45.237999999997555
564,45.24699999999939
565,45.262000000002445
566,45.28600000000006
567,45.266999999999825
568,45.237999999997555
569,32.65600000000268
570,45.2029999999977
571,45.21800000000076
572,45.233000000000175
573,45.25200000000041
574,45.233000000000175
575,45.25799999999799
576,45.25300000000061
577,45.27700000000186
578,45.25799999999799
579,45.266999999999825
580,45.28700000000026
581,45.24799999999959
582,45.24200000000201
583,45.25200000000041
584,45.266999999999825
585,45.27599999999802
586,45.24300000000221
587,45.23699999999735
588,45.27700000000186
589,45.22699999999895
590,45.20800000000236
591,45.26199999999881
592,45.24699999999939
593,45.272000000000844
594,45.25699999999779
595,45.27700000000186
596,45.26800000000003
597,45.25300000000061
598,45.25200000000041
599,45.25299999999697
600,45.23800000000119
601,30.635000000002037
602,45.21399999999994
603,45.22699999999895
604,45.23800000000119
606,45.23199999999997
607,45.24699999999939
608,45.25699999999779
609,41.733000000000175
610,45.296000000002095
611,45.28700000000026
612,45.27599999999802
613,45.227999999999156
614,45.28200000000288
615,45.25699999999779
616,45.25200000000041
617,45.28099999999904
618,45.2970000000023
619,45.26599999999962
620,33.800999999999476
621,45.223000000001775
622,45.22699999999895
623,44.76599999999962
624,45.24699999999939
625,45.27300000000105
626,45.29100000000108
627,45.27799999999843
628,45.257000000001426
629,45.25799999999799
631,45.25300000000061
632,45.266999999999825
633,45.28299999999945
634,45.266999999999825
635,45.23199999999997
636,45.23700000000099
637,45.23800000000119
638,45.23699999999735
639,45.21800000000076
640,45.272000000000844
641,45.25699999999779
642,45.27600000000166
646,45.27700000000186
647,45.266999999999825
649,45.26199999999881
650,45.25200000000041
651,45.276999999998225
652,45.296000000002095
653,45.26299999999901
654,45.272000000000844
655,29.14300000000003
656,45.21299999999974
657,45.26299999999901
658,45.150000000001455
