,A,id_A,wc_A,feature_A,us_weld_dist_wc_ft_A,wt_A,depth_in_A,length_in_A,width_in_A,orientation_deg_A,pressure_1_A,pressure_2_A,joint_length_A,lat_A,lng_A,comments_A,us_weld_id_A,feature_category_A,us_weld_dist_coord_m_A,pipe_section_A,section_sequence_A,orientation_x_A,orientation_y_A,h_dist_A,wc_norm_A,B,id_B,wc_B,feature_B,us_weld_dist_wc_ft_B,wt_B,depth_in_B,length_in_B,width_in_B,orientation_deg_B,pressure_1_B,pressure_2_B,joint_length_B,lat_B,lng_B,comments_B,us_weld_id_B,feature_category_B,us_weld_dist_coord_m_B,pipe_section_B,section_sequence_B,orientation_x_B,orientation_y_B,h_dist_B,wc_norm_B,match_score
46,2217,20360,87210.25,WELD,27.21600000000035,0.219,,,,,,,17.396999999997206,32.5086379,-104.19756942,,20370.0,,8.32719555740858,2026,0,,,293.1140794130427,87210.25,2242,20600,87835.195,WELD,27.305999999996857,0.219,,,,,,,17.46500000001106,32.5086379,-104.19756942,,20610.0,,8.32719555740858,2050,0,,,293.1140794130427,87533.37307424581,0.6656000061086341
47,2218,20370,87237.466,WELD,44.96700000000419,0.219,,,,,,,27.21600000000035,32.50870661,-104.19760474,,20380.0,,13.762622698712146,2027,0,,,293.1224066003902,87237.466,2243,20610,87862.501,WELD,45.14400000000023,0.219,,,,,,,27.305999999996857,32.50870661,-104.19760474,,20620.0,,13.762622698712146,2051,0,,,293.1224066003902,87560.58527468232,0.6648004132144055
48,2241,20570,88128.58,WELD,44.9890000000014,0.219,,,,,,,36.74700000000303,32.51094514,-104.19879072,,20580.0,,13.765251760538371,2047,0,,,293.3950121713071,88128.58,2266,20810,88756.381,WELD,45.06600000000617,0.219,,,,,,,36.84399999999732,32.51094514,-104.19879072,,20820.0,,13.765251760538371,2071,0,,,293.3950121713071,88451.39468383008,0.6644997997002421
49,2243,20590,88206.505,WELD,44.92399999999907,0.219,,,,,,,32.93600000000151,32.51114081,-104.19889476,,20600.0,,13.736791550038049,2049,0,,,293.418854470275,88206.505,2268,20830,88834.447,WELD,45.012000000002445,0.219,,,,,,,33.0,32.51114081,-104.19889476,,20840.0,,13.736791550038049,2073,0,,,293.418854470275,88529.19251724679,0.6657216318896829
50,2247,20630,88369.857,WELD,45.0,0.219,,,,,,,28.362999999997555,32.51155097,-104.19911121,,20640.0,,13.760709608287476,2053,0,,,293.4687713999586,88369.857,2272,20870,88998.139,WELD,45.15899999999965,0.219,,,,,,,28.455000000001746,32.51155097,-104.19911121,,20880.0,,13.760709608287476,2077,0,,,293.4687713999586,88692.32221452404,0.6647167927717196
51,2270,20830,89234.857,WELD,43.98500000000058,0.219,,,,,,,29.312000000005355,32.51372225,-104.2002632,,20840.0,,13.406818690233504,2073,0,,,293.7332470450257,89234.857,2294,21070,89865.296,WELD,44.06399999999849,0.219,,,,,,,29.396999999997206,32.51372225,-104.2002632,,21080.0,,13.406818690233504,2097,0,,,293.7332470450257,89556.50042055656,0.6650015102293497
52,2482,22790,97700.963,WELD,45.0109999999986,0.219,,,,,,,29.81500000000233,32.53487109,-104.2118058,,22800.0,,13.760110681978968,2269,0,,,296.32123205971476,97700.963,2501,23030,98341.731,WELD,45.00199999999313,0.219,,,,,,,29.85899999999674,32.53487109,-104.2118058,,23040.0,,13.760110681978968,2293,0,,,296.32123205971476,98003.817794286,0.666219655682722
53,2484,22810,97759.037,WELD,3.0020000000076834,0.28,,,,,,,13.062999999994645,32.53501402,-104.21189022,,22820.0,,0.9183466586919451,2271,0,,,296.3389606281093,97759.037,2503,23050,98399.844,WELD,2.9830000000074506,0.28,,,,,,,13.111000000004424,32.53501402,-104.21189022,,23060.0,,0.9183466586919451,2295,0,,,296.3389606281093,98061.73116878123,0.6661347544796654
54,2489,22850,97797.83,WELD,45.021999999997206,0.219,,,,,,,31.870999999999185,32.53510905,-104.21194776,,22860.0,,13.76281143288357,2275,0,,,296.3508003436119,97797.83,2508,23090,98438.729,WELD,45.15999999998894,0.219,,,,,,,31.97400000000198,32.53510905,-104.21194776,,23100.0,,13.76281143288357,2299,0,,,296.3508003436119,98100.48259388832,0.6642244577042978
55,2523,23160,99110.396,WELD,45.03200000000652,0.219,,,,,,,24.39999999999418,32.53831726,-104.21390723,,23170.0,,13.76998971020318,2306,0,,,296.7511383860118,99110.396,2541,23400,99751.988,WELD,45.00699999999779,0.219,,,,,,,24.39999999999418,32.53831726,-104.21390723,,23410.0,,13.76998971020318,2330,0,,,296.7511383860118,99409.23038313069,0.6666666666666666
