,wc_B,wc_A,lat_A,lat_B,lng_A,lng_B
267,11239.612,11162.875,32.3448492,32.3448492,-104.04876842,-104.04876842
268,11284.894,11207.821,32.34495368,32.34495368,-104.04884695,-104.04884695
269,11330.157,11252.755,32.34505857,32.34505857,-104.04892479,-104.04892479
270,11375.42,11297.679,32.34516363,32.34516363,-104.04900193,-104.04900193
271,11420.668,11342.591,32.34526794,32.34526794,-104.04907967,-104.04907967
272,11465.94,11387.548,32.34537215,32.34537215,-104.04915822,-104.04915822
273,11511.222,11432.46,32.34547645,32.34547645,-104.04923667,-104.04923667
274,11556.514,11477.406,32.34558099,32.34558099,-104.04931502,-104.04931502
275,11601.785,11522.34,32.34568564,32.34568564,-104.04939284,-104.04939284
276,11647.047,11567.275,32.34578987,32.34578987,-104.04947146,-104.04947146
277,11690.901,11610.878,32.34589009,32.34589009,-104.0495486,-104.0495486
278,11736.128,11655.823,32.34599389,32.34599389,-104.04962637,-104.04962637
279,11781.366,11700.736,32.34609944,32.34609944,-104.04970259,-104.04970259
280,11826.637,11745.67,32.3462048,32.3462048,-104.04977936,-104.04977936
281,11832.847,11751.838,32.34621918,32.34621918,-104.0497901,-104.0497901
282,11878.118,11796.773,32.34632401,32.34632401,-104.04986799,-104.04986799
283,11923.41,11841.696,32.34642876,32.34642876,-104.04994572,-104.04994572
284,11968.667,11886.62,32.34653355,32.34653355,-104.05002326,-104.05002326
285,12013.929,11931.544,32.34663822,32.34663822,-104.05010092,-104.05010092
286,12059.215,11976.489,32.34674304,32.34674304,-104.05017857,-104.05017857
287,12104.487,12021.445,32.3468477,32.3468477,-104.05025662,-104.05025662
288,12149.744,12066.38,32.34695235,32.34695235,-104.05033461,-104.05033461
289,12195.016,12111.325,32.34705679,32.34705679,-104.05041302,-104.05041302
290,12240.283,12156.26,32.3471618,32.3471618,-104.05049035,-104.05049035
291,12285.545,12201.216,32.34726658,32.34726658,-104.05056829,-104.05056829
292,12314.289,12229.753,32.34733309,32.34733309,-104.05061772,-104.05061772
293,12359.536,12274.71,32.34743788,32.34743788,-104.05069564,-104.05069564
294,12404.793,12319.666,32.34754244,32.34754244,-104.05077394,-104.05077394
295,12450.011,12364.579,32.34764728,32.34764728,-104.05085145,-104.05085145
296,12495.258,12409.535,32.34775219,32.34775219,-104.05092898,-104.05092898
297,12540.511,12454.48,32.34785696,32.34785696,-104.05100665,-104.05100665
298,12585.754,12499.426,32.34796199,32.34796199,-104.05108374,-104.05108374
299,12630.992,12544.36,32.34806637,32.34806637,-104.05116203,-104.05116203
300,12676.274,12589.349,32.34817048,32.34817048,-104.05124129,-104.05124129
301,12721.542,12634.339,32.34827504,32.34827504,-104.05131981,-104.05131981
302,12758.023,12670.55,32.34835962,32.34835962,-104.05138242,-104.05138242
303,12803.286,12715.518,32.34846479,32.34846479,-104.05145989,-104.05145989
304,12848.548,12760.463,32.3485694,32.3485694,-104.05153821,-104.05153821
305,12893.82,12805.409,32.34867396,32.34867396,-104.05161661,-104.05161661
306,12939.086,12850.354,32.34877835,32.34877835,-104.05169531,-104.05169531
307,12984.348,12895.299,32.34888298,32.34888298,-104.05177354,-104.05177354
308,13029.596,12940.245,32.34898801,32.34898801,-104.05185111,-104.05185111
309,13074.857,12985.19,32.3490931,32.3490931,-104.05192847,-104.05192847
310,13120.11,13030.147,32.34919806,32.34919806,-104.05200623,-104.05200623
311,13165.386,13075.092,32.34930278,32.34930278,-104.05208417,-104.05208417
312,13210.663,13120.048,32.34940694,32.34940694,-104.05216341,-104.05216341
313,13255.92,13165.016,32.34951108,32.34951108,-104.05224267,-104.05224267
314,13301.128,13209.972,32.34961577,32.34961577,-104.05232081,-104.05232081
315,13346.36,13254.939,32.34972073,32.34972073,-104.05239831,-104.05239831
316,13391.598,13299.885,32.349825,32.349825,-104.05247735,-104.05247735
